environment,obstacleTrain,,seedTraining,seedTesting,score,success,bodyChanged
half_cheetah,none,,4,8,2525.17,14.0,"torso,big"
half_cheetah,none,,4,14,2431.05,13.0,"torso,big"
half_cheetah,none,,4,13,2572.88,14.0,"torso,big"
half_cheetah,none,,4,12,2455.17,13.0,"torso,big"
half_cheetah,none,,4,17,2643.08,14.0,"torso,big"
half_cheetah,none,,4,16,2587.89,14.0,"torso,big"
half_cheetah,none,,4,18,2572.16,14.0,"torso,big"
half_cheetah,none,,4,20,2502.67,13.0,"torso,big"
half_cheetah,none,,4,19,2590.84,14.0,"torso,big"
half_cheetah,none,,4,21,2493.69,13.0,"torso,big"
half_cheetah,none,,4,22,2516.5,14.0,"torso,big"
half_cheetah,none,,4,25,2439.67,13.0,"torso,big"
half_cheetah,none,,4,23,2560.83,14.0,"torso,big"
half_cheetah,none,,4,24,2459.76,13.0,"torso,big"
half_cheetah,none,,4,26,2494.76,13.0,"torso,big"
half_cheetah,none,,4,28,2561.19,14.0,"torso,big"
half_cheetah,none,,4,27,2598.16,14.0,"torso,big"
half_cheetah,none,,4,29,2628.83,14.0,"torso,big"
half_cheetah,none,,0,0,1745.04,9.0,"torso,small"
half_cheetah,none,,0,1,1629.05,9.0,"torso,small"
half_cheetah,none,,0,3,1568.88,8.0,"torso,small"
half_cheetah,none,,0,2,1350.33,7.0,"torso,small"
half_cheetah,none,,0,4,298.592,2.0,"torso,small"
half_cheetah,none,,0,6,662.149,3.0,"torso,small"
half_cheetah,none,,0,5,924.177,5.0,"torso,small"
half_cheetah,none,,0,7,779.888,4.0,"torso,small"
half_cheetah,none,,0,8,2331.6,13.0,"torso,small"
half_cheetah,none,,0,9,635.043,3.0,"torso,small"
half_cheetah,none,,0,10,2570.89,14.0,"torso,small"
half_cheetah,none,,0,11,2680.4,15.0,"torso,small"
half_cheetah,none,,0,13,145.436,0.0,"torso,small"
half_cheetah,none,,0,14,2791.04,16.0,"torso,small"
half_cheetah,none,,0,17,762.942,4.0,"torso,small"
half_cheetah,none,,0,12,1719.13,9.0,"torso,small"
half_cheetah,none,,0,16,163.404,1.0,"torso,small"
half_cheetah,none,,0,15,2087.13,11.0,"torso,small"
half_cheetah,none,,0,19,1088.99,6.0,"torso,small"
half_cheetah,none,,0,18,1624.67,9.0,"torso,small"
half_cheetah,none,,0,20,271.04,1.0,"torso,small"
half_cheetah,none,,0,22,906.563,5.0,"torso,small"
half_cheetah,none,,0,21,500.329,2.0,"torso,small"
half_cheetah,none,,0,23,954.42,5.0,"torso,small"
half_cheetah,none,,0,24,270.419,1.0,"torso,small"
half_cheetah,none,,0,26,2272.06,13.0,"torso,small"
half_cheetah,none,,0,25,2907.05,16.0,"torso,small"
half_cheetah,none,,0,27,818.708,4.0,"torso,small"
half_cheetah,none,,1,1,909.662,5.0,"torso,small"
half_cheetah,none,,1,0,1963.16,11.0,"torso,small"
half_cheetah,none,,0,28,925.373,5.0,"torso,small"
half_cheetah,none,,0,29,566.308,3.0,"torso,small"
half_cheetah,none,,1,2,311.223,1.0,"torso,small"
half_cheetah,none,,1,3,199.178,1.0,"torso,small"
half_cheetah,none,,1,4,822.379,4.0,"torso,small"
half_cheetah,none,,1,5,1971.79,11.0,"torso,small"
half_cheetah,none,,1,6,338.687,1.0,"torso,small"
half_cheetah,none,,1,7,1238.66,6.0,"torso,small"
half_cheetah,none,,1,9,441.165,2.0,"torso,small"
half_cheetah,none,,1,10,594.546,3.0,"torso,small"
half_cheetah,none,,1,8,2228.82,12.0,"torso,small"
half_cheetah,none,,1,11,107.334,0.0,"torso,small"
half_cheetah,none,,1,15,838.772,4.0,"torso,small"
half_cheetah,none,,1,13,997.146,5.0,"torso,small"
half_cheetah,none,,1,14,2653.45,14.0,"torso,small"
half_cheetah,none,,1,12,875.071,5.0,"torso,small"
half_cheetah,none,,1,16,515.815,2.0,"torso,small"
half_cheetah,none,,1,17,2376.03,13.0,"torso,small"
half_cheetah,none,,1,19,524.023,3.0,"torso,small"
half_cheetah,none,,1,18,901.811,5.0,"torso,small"
half_cheetah,none,,1,20,1293.76,7.0,"torso,small"
half_cheetah,none,,1,21,452.154,2.0,"torso,small"
half_cheetah,none,,1,22,2734.68,15.0,"torso,small"
half_cheetah,none,,1,23,198.376,1.0,"torso,small"
half_cheetah,none,,1,24,2874.6,16.0,"torso,small"
half_cheetah,none,,1,25,333.474,1.0,"torso,small"
half_cheetah,none,,1,26,297.159,1.0,"torso,small"
half_cheetah,none,,1,28,298.385,1.0,"torso,small"
half_cheetah,none,,1,27,288.929,1.0,"torso,small"
half_cheetah,none,,1,29,272.964,1.0,"torso,small"
half_cheetah,none,,2,2,3778.27,20.0,"torso,small"
half_cheetah,none,,2,1,3694.07,20.0,"torso,small"
half_cheetah,none,,2,0,3630.29,19.0,"torso,small"
half_cheetah,none,,2,3,3843.13,20.0,"torso,small"
half_cheetah,none,,2,4,631.539,3.0,"torso,small"
half_cheetah,none,,2,5,3627.4,19.0,"torso,small"
half_cheetah,none,,2,7,3703.54,20.0,"torso,small"
half_cheetah,none,,2,6,3671.45,19.0,"torso,small"
half_cheetah,none,,2,8,1912.55,10.0,"torso,small"
half_cheetah,none,,2,9,3606.82,19.0,"torso,small"
half_cheetah,none,,2,10,3774.2,20.0,"torso,small"
half_cheetah,none,,2,11,3659.49,19.0,"torso,small"
half_cheetah,none,,2,13,1391.47,7.0,"torso,small"
half_cheetah,none,,2,12,668.613,3.0,"torso,small"
half_cheetah,none,,2,14,3762.55,20.0,"torso,small"
half_cheetah,none,,2,17,3594.78,19.0,"torso,small"
half_cheetah,none,,2,15,3591.31,19.0,"torso,small"
half_cheetah,none,,2,16,2330.94,12.0,"torso,small"
half_cheetah,none,,2,19,3100.28,16.0,"torso,small"
half_cheetah,none,,2,18,3746.06,20.0,"torso,small"
half_cheetah,none,,2,20,3780.65,20.0,"torso,small"
half_cheetah,none,,2,21,2293.12,12.0,"torso,small"
half_cheetah,none,,2,22,3600.61,19.0,"torso,small"
half_cheetah,none,,2,23,3669.89,19.0,"torso,small"
half_cheetah,none,,2,24,3564.04,19.0,"torso,small"
half_cheetah,none,,2,25,3515.72,19.0,"torso,small"
half_cheetah,none,,2,26,465.013,2.0,"torso,small"
half_cheetah,none,,2,27,3587.89,19.0,"torso,small"
half_cheetah,none,,2,28,1448.94,7.0,"torso,small"
half_cheetah,none,,2,29,3717.8,20.0,"torso,small"
half_cheetah,none,,3,0,2887.17,16.0,"torso,small"
half_cheetah,none,,3,1,508.237,2.0,"torso,small"
half_cheetah,none,,3,3,3096.13,17.0,"torso,small"
half_cheetah,none,,3,2,3524.62,19.0,"torso,small"
half_cheetah,none,,3,4,1649.39,9.0,"torso,small"
half_cheetah,none,,3,5,1211.73,6.0,"torso,small"
half_cheetah,none,,3,6,3478.67,19.0,"torso,small"
half_cheetah,none,,3,7,3295.57,18.0,"torso,small"
half_cheetah,none,,3,9,1925.01,10.0,"torso,small"
half_cheetah,none,,3,8,2352.07,13.0,"torso,small"
half_cheetah,none,,3,10,2685.49,14.0,"torso,small"
half_cheetah,none,,3,12,2581.54,14.0,"torso,small"
half_cheetah,none,,3,11,2914.71,16.0,"torso,small"
half_cheetah,none,,3,14,3322.34,18.0,"torso,small"
half_cheetah,none,,3,17,447.888,2.0,"torso,small"
half_cheetah,none,,3,13,3212.88,17.0,"torso,small"
half_cheetah,none,,3,15,3126.72,17.0,"torso,small"
half_cheetah,none,,3,16,3040.83,17.0,"torso,small"
half_cheetah,none,,3,18,3573.25,19.0,"torso,small"
half_cheetah,none,,3,19,2782.23,15.0,"torso,small"
half_cheetah,none,,3,20,2692.25,15.0,"torso,small"
half_cheetah,none,,3,21,3332.85,18.0,"torso,small"
half_cheetah,none,,3,22,3512.09,19.0,"torso,small"
half_cheetah,none,,3,23,3650.52,20.0,"torso,small"
half_cheetah,none,,3,25,1026.37,5.0,"torso,small"
half_cheetah,none,,3,24,3375.98,18.0,"torso,small"
half_cheetah,none,,3,26,553.092,3.0,"torso,small"
half_cheetah,none,,3,28,3662.85,20.0,"torso,small"
half_cheetah,none,,3,27,84.8824,0.0,"torso,small"
half_cheetah,none,,3,29,2980.46,16.0,"torso,small"
half_cheetah,none,,4,1,2848.0,15.0,"torso,small"
half_cheetah,none,,4,0,2599.4,14.0,"torso,small"
half_cheetah,none,,4,2,2947.49,16.0,"torso,small"
half_cheetah,none,,4,3,2728.72,15.0,"torso,small"
half_cheetah,none,,4,4,2713.89,15.0,"torso,small"
half_cheetah,none,,4,5,2949.93,16.0,"torso,small"
half_cheetah,none,,4,6,2580.26,14.0,"torso,small"
half_cheetah,none,,4,7,1140.01,7.0,"torso,small"
half_cheetah,none,,4,8,1326.74,7.0,"torso,small"
half_cheetah,none,,4,9,2665.89,14.0,"torso,small"
half_cheetah,none,,4,10,2654.21,14.0,"torso,small"
half_cheetah,none,,4,11,2844.59,15.0,"torso,small"
half_cheetah,none,,4,12,2819.16,15.0,"torso,small"
half_cheetah,none,,4,14,2001.16,11.0,"torso,small"
half_cheetah,none,,4,15,2627.62,14.0,"torso,small"
half_cheetah,none,,4,13,2262.93,12.0,"torso,small"
half_cheetah,none,,4,17,2854.99,15.0,"torso,small"
half_cheetah,none,,4,16,2716.13,15.0,"torso,small"
half_cheetah,none,,4,18,2901.14,15.0,"torso,small"
half_cheetah,none,,4,19,3036.98,16.0,"torso,small"
half_cheetah,none,,4,20,2853.83,15.0,"torso,small"
half_cheetah,none,,4,21,3000.16,16.0,"torso,small"
half_cheetah,none,,4,22,3055.04,16.0,"torso,small"
half_cheetah,none,,4,23,2756.74,15.0,"torso,small"
half_cheetah,none,,4,24,1424.46,8.0,"torso,small"
