environment,obstacleTrain,obstacleTest,seedTraining,seedTesting,score,success
half_cheetah,1,1,4,4,1672.57,8.0
half_cheetah,1,1,4,6,1714.17,8.0
half_cheetah,1,1,4,7,1558.02,7.0
half_cheetah,1,1,4,5,1695.21,8.0
half_cheetah,1,1,4,8,1523.5,7.0
half_cheetah,1,1,4,9,1688.16,8.0
half_cheetah,1,2,0,0,126.023,0.0
half_cheetah,1,2,0,1,122.416,0.0
half_cheetah,1,2,0,2,145.231,0.0
half_cheetah,1,2,0,4,130.796,0.0
half_cheetah,1,2,0,5,133.846,0.0
half_cheetah,1,2,0,3,141.253,0.0
half_cheetah,1,2,0,6,133.613,0.0
half_cheetah,1,2,0,8,31.6077,0.0
half_cheetah,1,2,0,9,143.685,0.0
half_cheetah,1,2,0,7,132.025,0.0
half_cheetah,1,2,1,0,-45.7737,0.0
half_cheetah,1,2,1,1,-243.351,0.0
half_cheetah,1,2,1,5,-27.375,0.0
half_cheetah,1,2,1,2,-420.97,0.0
half_cheetah,1,2,1,4,-356.875,0.0
half_cheetah,1,2,1,3,-179.603,0.0
half_cheetah,1,2,1,6,-402.581,0.0
half_cheetah,1,2,1,7,-259.275,0.0
half_cheetah,1,2,1,8,-65.6295,0.0
half_cheetah,1,2,2,1,139.577,0.0
half_cheetah,1,2,1,9,-118.723,0.0
half_cheetah,1,2,2,0,127.712,0.0
half_cheetah,1,2,2,2,137.345,0.0
half_cheetah,1,2,2,4,125.641,0.0
half_cheetah,1,2,2,3,132.144,0.0
half_cheetah,1,2,2,5,122.114,0.0
half_cheetah,1,2,2,6,141.265,0.0
half_cheetah,1,2,3,1,132.011,0.0
half_cheetah,1,2,2,7,119.724,0.0
half_cheetah,1,2,3,0,127.679,0.0
half_cheetah,1,2,2,8,131.229,0.0
half_cheetah,1,2,2,9,135.598,0.0
half_cheetah,1,2,3,2,141.209,0.0
half_cheetah,1,2,3,3,125.299,0.0
half_cheetah,1,2,3,4,125.082,0.0
half_cheetah,1,2,3,5,133.33,0.0
half_cheetah,1,2,3,6,119.283,0.0
half_cheetah,1,2,3,7,116.404,0.0
half_cheetah,1,2,3,9,136.021,0.0
half_cheetah,1,2,3,8,141.199,0.0
half_cheetah,1,2,4,1,137.489,0.0
half_cheetah,1,2,4,0,121.075,0.0
half_cheetah,1,2,4,5,128.149,0.0
half_cheetah,1,2,4,2,159.753,0.0
half_cheetah,1,2,4,4,126.556,0.0
half_cheetah,1,2,4,3,139.308,0.0
half_cheetah,1,2,4,6,129.964,0.0
half_cheetah,1,2,4,7,116.578,0.0
half_cheetah,1,2,4,9,148.088,0.0
half_cheetah,1,2,4,8,137.99,0.0
half_cheetah,1,3,0,0,50.0879,0.0
half_cheetah,1,3,0,1,57.3055,0.0
half_cheetah,1,3,0,2,59.1614,0.0
half_cheetah,1,3,0,4,65.4635,0.0
half_cheetah,1,3,0,3,47.826,0.0
half_cheetah,1,3,0,5,49.9648,0.0
half_cheetah,1,3,0,7,60.9009,0.0
half_cheetah,1,3,0,6,47.5324,0.0
half_cheetah,1,3,0,8,65.7821,0.0
half_cheetah,1,3,0,9,90.7464,0.0
half_cheetah,1,3,1,1,1.65187,0.0
half_cheetah,1,3,1,0,5.18592,0.0
half_cheetah,1,3,1,3,8.12604,0.0
half_cheetah,1,3,1,2,-108.992,0.0
half_cheetah,1,3,1,4,-10.3919,0.0
half_cheetah,1,3,1,5,4.83255,0.0
half_cheetah,1,3,1,6,-5.96076,0.0
half_cheetah,1,3,1,7,-2.60395,0.0
half_cheetah,1,3,1,8,-5.24569,0.0
half_cheetah,1,3,1,9,8.36916,0.0
half_cheetah,1,3,2,0,55.1343,0.0
half_cheetah,1,3,2,1,62.1003,0.0
half_cheetah,1,3,2,3,55.885,0.0
half_cheetah,1,3,2,2,60.9527,0.0
half_cheetah,1,3,2,5,62.1276,0.0
half_cheetah,1,3,2,4,60.2836,0.0
half_cheetah,1,3,2,6,54.6487,0.0
half_cheetah,1,3,2,7,51.7282,0.0
half_cheetah,1,3,2,9,65.7366,0.0
half_cheetah,1,3,2,8,53.5085,0.0
half_cheetah,1,3,3,0,65.4681,0.0
half_cheetah,1,3,3,1,74.2133,0.0
half_cheetah,1,3,3,3,52.046,0.0
half_cheetah,1,3,3,2,76.6134,0.0
half_cheetah,1,3,3,4,67.2753,0.0
half_cheetah,1,3,3,5,57.7769,0.0
half_cheetah,1,3,3,7,48.9039,0.0
half_cheetah,1,3,3,6,64.4454,0.0
half_cheetah,1,3,3,9,66.6694,0.0
half_cheetah,1,3,4,0,49.763,0.0
half_cheetah,1,3,4,1,64.8673,0.0
half_cheetah,1,3,3,8,53.8769,0.0
half_cheetah,1,3,4,3,64.3289,0.0
half_cheetah,1,3,4,2,74.8076,0.0
half_cheetah,1,3,4,4,61.123,0.0
half_cheetah,1,3,4,5,59.308,0.0
half_cheetah,1,3,4,6,59.7745,0.0
half_cheetah,1,3,4,7,54.8165,0.0
half_cheetah,1,3,4,8,70.6293,0.0
half_cheetah,1,3,4,9,64.8115,0.0
half_cheetah,1,4,0,0,58.4458,0.0
half_cheetah,1,4,0,1,62.6293,0.0
half_cheetah,1,4,0,4,57.0691,0.0
half_cheetah,1,4,0,3,52.5358,0.0
half_cheetah,1,4,0,2,62.8699,0.0
half_cheetah,1,4,0,5,54.4761,0.0
half_cheetah,1,4,0,7,51.2473,0.0
half_cheetah,1,4,0,6,54.1601,0.0
half_cheetah,1,4,0,8,31.6077,0.0
half_cheetah,1,4,1,1,27.9805,0.0
half_cheetah,1,4,0,9,64.6665,0.0
half_cheetah,1,4,1,0,50.4836,0.0
half_cheetah,1,4,1,2,30.9272,0.0
half_cheetah,1,4,1,3,44.4532,0.0
half_cheetah,1,4,1,5,40.491,0.0
half_cheetah,1,4,1,4,50.2452,0.0
half_cheetah,1,4,1,7,48.8466,0.0
half_cheetah,1,4,1,6,18.4579,0.0
half_cheetah,1,4,1,9,28.3076,0.0
half_cheetah,1,4,2,1,27.5054,0.0
half_cheetah,1,4,2,0,50.2836,0.0
half_cheetah,1,4,1,8,26.7137,0.0
half_cheetah,1,4,2,3,48.9634,0.0
half_cheetah,1,4,2,6,48.5656,0.0
half_cheetah,1,4,2,2,64.2715,0.0
half_cheetah,1,4,2,4,51.6716,0.0
half_cheetah,1,4,2,5,49.3446,0.0
half_cheetah,1,4,2,7,46.9875,0.0
half_cheetah,1,4,2,8,41.9535,0.0
half_cheetah,1,4,2,9,59.5399,0.0
half_cheetah,1,4,3,1,47.711,0.0
half_cheetah,1,4,3,0,26.6577,0.0
half_cheetah,1,4,3,4,50.2268,0.0
half_cheetah,1,4,3,2,51.9246,0.0
half_cheetah,1,4,3,3,42.9478,0.0
half_cheetah,1,4,3,5,29.1268,0.0
half_cheetah,1,4,3,6,22.7941,0.0
half_cheetah,1,4,3,7,18.6623,0.0
half_cheetah,1,4,4,1,46.1096,0.0
half_cheetah,1,4,3,9,51.7082,0.0
half_cheetah,1,4,4,0,33.8714,0.0
half_cheetah,1,4,3,8,70.8333,0.0
half_cheetah,1,4,4,2,49.6254,0.0
